# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -733.80000000 ps, Average over 3000 waveforms. Timestamp: 2025-11-05T15:49:28
# Window type: Tukey, parameters: alpha = 0.1, thickness 0.5 mm
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
12.28954618	-93.90479303
12.30435286	-104.69423742
12.31915954	-96.84675518
12.33396623	-98.47028953
12.34877291	-90.64594336
12.36357959	-88.23371618
12.37838627	-88.18510522
12.39319296	-90.66144591
12.40799964	-93.65550320
12.42280632	-94.18881369
12.43761300	-89.07726577
12.45241968	-88.04587615
12.46722637	-92.25425290
12.48203305	-88.96127048
12.49683973	-87.43714251
12.51164641	-89.00983999
12.52645309	-92.00656010
12.54125978	-95.91133890
12.55606646	-94.84029296
12.57087314	-92.29748166
12.58567982	-94.58222762
12.60048651	-100.20940892
12.61529319	-97.16253045
12.63009987	-92.67656008
12.64490655	-91.16461435
12.65971323	-88.94419595
12.67451992	-91.76236688
12.68932660	-98.55362345
12.70413328	-90.07942762
12.71893996	-93.35742290
12.73374664	-98.17021245
12.74855333	-88.17704522
12.76336001	-86.17388998
12.77816669	-88.17905720
12.79297337	-91.59227237
12.80778006	-91.71934085
12.82258674	-91.20397624
12.83739342	-95.63798926
12.85220010	-91.96932463
12.86700678	-90.94861492
12.88181347	-103.99350229
12.89662015	-96.08873732
12.91142683	-93.51701545
12.92623351	-91.47153191
12.94104019	-89.07823691
12.95584688	-88.42124772
12.97065356	-90.34555542
12.98546024	-90.90999534
13.00026692	-91.12533569
13.01507361	-94.36047892
13.02988029	-92.60963140
13.04468697	-99.93668189
13.05949365	-102.99487488
13.07430033	-103.47275295
13.08910702	-104.47416996
13.10391370	-100.04629250
13.11872038	-102.98952889
13.13352706	-107.89405093
13.14833374	-101.39662835
13.16314043	-97.19803068
13.17794711	-91.81245806
13.19275379	-88.16719829
13.20756047	-88.54937773
13.22236716	-91.69597567
13.23717384	-92.15350877
13.25198052	-92.67284398
13.26678720	-94.19470682
13.28159388	-92.51957308
13.29640057	-92.33233022
13.31120725	-98.78948340
13.32601393	-123.39689067
13.34082061	-104.99741656
13.35562729	-92.23967316
13.37043398	-86.49176067
13.38524066	-85.19540660
13.40004734	-87.65005444
13.41485402	-91.57832970
13.42966071	-92.86953198
13.44446739	-95.53043874
13.45927407	-105.12106565
13.47408075	-92.65461754
13.48888743	-92.66722095
13.50369412	-99.72862285
13.51850080	-98.80899949
13.53330748	-92.20893896
13.54811416	-92.33767545
13.56292084	-93.20679835
13.57772753	-93.51133392
13.59253421	-97.20742254
