# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -733.80000000 ps, Average over 3000 waveforms. Timestamp: 2025-11-05T15:52:25
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
14.39209504	-91.37524775
14.40690173	-100.95682889
14.42170841	-96.94401478
14.43651509	-91.65322274
14.45132177	-92.64461759
14.46612846	-95.26956825
14.48093514	-97.13700783
14.49574182	-110.76232817
14.51054850	-105.05716128
14.52535518	-97.97156120
14.54016187	-92.20143982
14.55496855	-90.86221060
14.56977523	-92.55826270
14.58458191	-91.65960404
14.59938859	-95.63092696
14.61419528	-89.61704167
14.62900196	-86.23521682
14.64380864	-88.48325306
14.65861532	-96.75742653
14.67342201	-100.80428932
14.68822869	-93.96615107
14.70303537	-94.61096005
14.71784205	-90.35139010
14.73264873	-86.09101928
14.74745542	-87.77032234
14.76226210	-98.63135818
14.77706878	-98.88039917
14.79187546	-96.97694928
14.80668214	-94.34886245
14.82148883	-94.84231450
14.83629551	-94.45631760
14.85110219	-93.35089817
14.86590887	-92.78133485
14.88071556	-91.29338398
14.89552224	-98.69794332
14.91032892	-123.95646489
