# Frequency(Hz) Real(n) Imag(n)
5.132267184490231934e+11 2.029211625233327432e+00 -6.327487731279547896e-03
5.148058775827125244e+11 2.027782861145759785e+00 -5.557035681401933241e-03
5.163850367164017944e+11 2.026565443691696444e+00 -4.601463527000580409e-03
5.179641958500911255e+11 2.025559301369228127e+00 -3.503943583094293150e-03
5.195433549837803955e+11 2.024758629118693865e+00 -2.293357990789406022e-03
5.211225141174697266e+11 2.024158328639713122e+00 -9.843091505357596908e-04
5.227016732511590576e+11 2.023759797693176488e+00 4.222150009732792190e-04
5.242808323848483276e+11 2.023577330811941355e+00 1.938800553315777383e-03
5.258599915185376587e+11 2.023648068741444206e+00 3.593343842733337252e-03
5.274391506522269287e+11 2.024052808274142023e+00 5.433936020545316638e-03
5.290183097859162598e+11 2.024971309322157520e+00 7.537803334007695671e-03
5.305974689196055298e+11 2.026878816274971129e+00 1.000206514194729515e-02
5.321766280532948608e+11 2.031445907495906589e+00 1.219299662920062324e-02
5.337557871869841309e+11 2.036707678969646995e+00 9.173656512932518159e-03
5.353349463206734619e+11 2.038244708599149302e+00 5.311402917167968966e-03
5.369141054543627319e+11 2.038387962034886147e+00 2.160320881052111772e-03
5.384932645880520630e+11 2.037822156516291283e+00 -4.379774881144477710e-04
5.400724237217413330e+11 1.997897512803608722e+00 4.309484494274901795e-02
5.416515828554306641e+11 1.992111126226164375e+00 4.429300236714118350e-02
5.432307419891199341e+11 1.986409434975013877e+00 4.529956893123347067e-02
5.448099011228092651e+11 1.980758749591418066e+00 4.617431394237922482e-02
5.463890602564985352e+11 1.975145941306630570e+00 4.696526039768231242e-02
5.479682193901878662e+11 2.028546036987770584e+00 -6.945064520339541345e-03
5.495473785238771973e+11 2.026907434298770294e+00 -6.675516057736932685e-03
5.511265376575665283e+11 2.025432930707571355e+00 -6.127126283688285636e-03
5.527056967912557373e+11 2.024152346866804564e+00 -5.359676387650860047e-03
5.542848559249450684e+11 2.023076735874307808e+00 -4.426308893866015386e-03
5.558640150586343994e+11 2.022204891388049930e+00 -3.368252947779270829e-03
5.574431741923237305e+11 2.021530391571779717e+00 -2.212861926823549326e-03
5.590223333260129395e+11 2.021047941069687326e+00 -9.737494603674782872e-04
